127.0.0.1 - - [28/Jan/2017:23:20:34 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:20:36 +0800] "GET /GagePlatform/WEB-INF/views/index.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:40:05 +0800] "GET /GagePlatform/WEB-INF/views/login.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:40:08 +0800] "GET /GagePlatform/WEB-INF/views/login.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:40:20 +0800] "GET /GagePlatform/WEB-INF/views/login.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:40:37 +0800] "GET /GagePlatform/WEB-INF/views/login.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:40:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:52 +0800] "GET /GagePlatform/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:53 +0800] "GET /GagePlatform/Login HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/css/co_platform.css HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 19967
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/css/bootstrap.min.css HTTP/1.1" 200 117309
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/js/jquery.timepicker.js HTTP/1.1" 200 28961
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/images/login_logo.png HTTP/1.1" 200 7173
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/js/jquery.validate.js HTTP/1.1" 200 40996
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:52:54 +0800] "GET /GagePlatform/resources/js/jquery-1.11.2.js HTTP/1.1" 200 294530
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:53:11 +0800] "GET /GagePlatform/Login HTTP/1.1" 200 3645
0:0:0:0:0:0:0:1 - - [28/Jan/2017:23:53:11 +0800] "GET /GagePlatform/resources/css/co_platform.css;jsessionid=1D89D7F392EECE83611D31AB205C17DF HTTP/1.1" 302 -
